X,Y,time,wind_speed
16.0499992370605,37.7900009155273,42673.5477420602,20
16.0799999237061,37.8400001525879,42673.5477538657,22
17.1900005340576,39.4699974060059,42673.5481675348,65
17.2299995422363,39.5200004577637,42673.5481793403,62
17.2600002288818,39.5599975585938,42673.5481911459,62
17.2899990081787,39.6100006103516,42673.548202963,63
17.3199996948242,39.6599998474121,42673.5482147685,63
17.3599987030029,39.7000007629395,42673.5482265741,62
17.3899993896484,39.75,42673.5482383796,63
17.4200000762939,39.7900009155273,42673.5482501852,64
17.4599990844727,39.8400001525879,42673.5482619908,62
17.4899997711182,39.8899993896484,42673.5482737963,67
17.5200004577637,39.9300003051758,42673.5482856134,65
17.5599994659424,39.9799995422363,42673.548297419,62
17.5900001525879,40.0299987792969,42673.5483092245,54
17.6199989318848,40.0699996948242,42673.5483210301,47
17.6599998474121,40.1199989318848,42673.5483328357,44
17.6900005340576,40.1599998474121,42673.5483446412,44
17.7199993133545,40.2099990844727,42673.5483564583,38
18.0599994659424,40.6699981689453,42673.5484745255,49
18.0900001525879,40.7199974060059,42673.548486331,58
18.1299991607666,40.7599983215332,42673.5484981366,63
18.1599998474121,40.8099975585938,42673.5485099537,63
18.1999988555908,40.8600006103516,42673.5485217592,62
18.2299995422363,40.8999977111816,42673.5485335648,59
18.2700004577637,40.9500007629395,42673.5485453703,61
18.2999992370605,40.9899978637695,42673.5485571759,57
18.3299999237061,41.0400009155273,42673.5485689815,56
18.3699989318848,41.0900001525879,42673.548580787,55
18.3999996185303,41.129997253418,42673.5485926041,54
18.4400005340576,41.1800003051758,42673.5486044097,53
18.4699993133545,41.2199974060059,42673.5486162152,53
18.5100002288818,41.2700004577637,42673.5486280208,50
18.5399990081787,41.3199996948242,42673.5486398264,52
18.5799999237061,41.3600006103516,42673.5486516319,49
18.6099987030029,41.4099998474121,42673.5486634491,49
18.6499996185303,41.4500007629395,42673.5486752547,48
18.6800003051758,41.5,42673.5486870601,47
18.7199993133545,41.5400009155273,42673.5486988657,46
18.75,41.5900001525879,42673.5487106713,45
18.7899990081787,41.6399993896484,42673.5487224768,42
18.8199996948242,41.6800003051758,42673.5487342824,37
18.8899993896484,41.7700004577637,42673.5487579051,24
18.9300003051758,41.8199996948242,42673.5487697107,18
18.9599990844727,41.8600006103516,42673.5487815163,13
19.0,41.9099998474121,42673.5487933217,12
19.0299987792969,41.9599990844727,42673.5488051273,13
3.23000001907349,42.4899978637695,42673.9577652547,38
3.26999998092651,42.4500007629395,42673.9577770602,39
3.33999991416931,42.3600006103516,42673.9578006713,39
3.40999984741211,42.2700004577637,42673.957824294,38
3.44999980926514,42.2199974060059,42673.9578360996,38
3.49000000953674,42.1699981689453,42673.9578479051,39
3.51999998092651,42.129997253418,42673.9578597107,39
3.55999994277954,42.0799980163574,42673.9578715162,43
3.58999991416931,42.0400009155273,42673.9578833218,50
3.62999987602234,41.9899978637695,42673.9578951389,60
3.65999984741211,41.9500007629395,42673.9579069444,60
3.69999980926514,41.8999977111816,42673.95791875,57
3.73000001907349,41.8499984741211,42673.9579305556,56
3.76999998092651,41.8099975585938,42673.9579423611,54
3.79999995231628,41.7599983215332,42673.9579541667,49
3.83999991416931,41.7199974060059,42673.9579659838,50
3.87999987602234,41.6699981689453,42673.9579777893,48
3.90999984741211,41.629997253418,42673.9579895949,49
3.98000001907349,41.5299987792969,42673.958013206,50
4.01999998092651,41.4899978637695,42673.9580250116,51
4.04999971389771,41.439998626709,42673.9580368171,52
4.08999967575073,41.3999977111816,42673.9580486342,52
4.11999988555908,41.3499984741211,42673.9580604398,55
4.15999984741211,41.3099975585938,42673.9580722454,56
4.19000005722046,41.2599983215332,42673.9580840509,60
